nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
ACTIVUS SECURITE PRIVEE,,,a contacter,,,,,,,,,,,,securite,,AULNAY-SOUS-BOIS,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808606909,80860690900030,80.10Z,,,,,,,,,,,sirene,
ACTURUS SARL,,,a contacter,,,,,,,,,,,,securite,,PARIS,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381278266,38127826600089,80.10Z,,,,,,,,,,,sirene,
ACURA SECURITE,,,a contacter,,,,,,,,,,,,securite,,STRASBOURG,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451397335,45139733500022,80.10Z,,,,,,,,,,,sirene,
ACVS,,,a contacter,,,,,,,,,,,,securite,,MARSEILLE,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819306697,81930669700023,80.20Z,,,,,,,,,,,sirene,
AD SECURITE,,,a contacter,,,,,,,,,,,,securite,,MEAUX,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904219599,90421959900027,80.10Z,,,,,,,,,,,sirene,
ADENA,,,a contacter,,,,,,,,,,,,securite,,GEMENOS,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790616379,79061637900026,80.20Z,,,,,,,,,,,sirene,
ADN PROTECTION,,,a contacter,,,,,,,,,,,,securite,,COLOMBES,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533694287,53369428700038,80.10Z,,,,,,,,,,,sirene,
ADS GROUP,,,a contacter,,,,,,,,,,,,securite,,VAULX-MILIEU,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449805399,44980539900051,80.20Z,,,,,,,,,,,sirene,
ADS PROTECTION,,,a contacter,,,,,,,,,,,,securite,,PORTES-LES-VALENCE,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794526566,79452656600029,80.20Z,,,,,,,,,,,sirene,
ADVISOR SECURITE,,,a contacter,,,,,,,,,,,,securite,,NEUILLY-SUR-MARNE,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797589173,79758917300047,80.20Z,,,,,,,,,,,sirene,
